,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
0,0,Philadelphia 76ers,J.J. Redick,Boston Celtics,L,10/16/2018,29:46,7,17,0.41200000000000003,2,8,0.25,0,0,,0,2,2,1,0,0,0,1,16,-10.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1,1,Philadelphia 76ers,T.J. McConnell,Boston Celtics,L,10/16/2018,22:26,2,5,0.4,0,1,0.0,0,0,,0,1,1,3,0,0,0,3,4,-11.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
2,2,Philadelphia 76ers,Landry Shamet,Boston Celtics,L,10/16/2018,12:42,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-8.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
3,2,Philadelphia 76ers,Landry Shamet,Boston Celtics,L,10/16/2018,12:42,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-8.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
4,3,Philadelphia 76ers,Amir Johnson,Boston Celtics,L,10/16/2018,11:11,1,1,1.0,0,0,,3,4,0.75,0,3,3,1,0,0,0,1,5,-10.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
5,4,Philadelphia 76ers,Jonah Bolden,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,453,PF,https://www.basketball-reference.com/players/b/boldejo01.html,43,6-8,220,Philadelphia 76ers,regular season
6,5,Philadelphia 76ers,Furkan Korkmaz,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
182,159,Philadelphia 76ers,Landry Shamet,Chicago Bulls,W,10/18/2018,29:11,4,7,0.5710000000000001,4,7,0.5710000000000001,0,0,,0,4,4,1,2,1,0,1,12,1.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
183,159,Philadelphia 76ers,Landry Shamet,Chicago Bulls,W,10/18/2018,29:11,4,7,0.5710000000000001,4,7,0.5710000000000001,0,0,,0,4,4,1,2,1,0,1,12,1.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
184,160,Philadelphia 76ers,J.J. Redick,Chicago Bulls,W,10/18/2018,24:06,4,11,0.364,1,3,0.33299999999999996,1,1,1.0,1,2,3,1,1,0,1,1,10,17.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
185,161,Philadelphia 76ers,Amir Johnson,Chicago Bulls,W,10/18/2018,15:09,6,9,0.667,0,1,0.0,1,1,1.0,1,2,3,1,0,0,1,4,13,-7.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
186,162,Philadelphia 76ers,Furkan Korkmaz,Chicago Bulls,W,10/18/2018,7:45,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-2.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
187,163,Philadelphia 76ers,T.J. McConnell,Chicago Bulls,W,10/18/2018,4:51,1,1,1.0,0,0,,2,2,1.0,0,0,0,3,0,0,0,0,4,-3.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
188,164,Philadelphia 76ers,Jonah Bolden,Chicago Bulls,W,10/18/2018,2:49,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,1.0,2019,453,PF,https://www.basketball-reference.com/players/b/boldejo01.html,43,6-8,220,Philadelphia 76ers,regular season
397,340,Philadelphia 76ers,J.J. Redick,Orlando Magic,W,10/20/2018,32:17,10,20,0.5,8,13,0.615,3,3,1.0,0,4,4,4,1,0,0,1,31,16.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
398,341,Philadelphia 76ers,T.J. McConnell,Orlando Magic,W,10/20/2018,25:22,4,7,0.5710000000000001,0,0,,0,0,,0,4,4,4,1,0,2,2,8,8.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
399,342,Philadelphia 76ers,Landry Shamet,Orlando Magic,W,10/20/2018,20:56,0,4,0.0,0,3,0.0,0,0,,2,2,4,2,0,0,1,0,0,12.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
400,342,Philadelphia 76ers,Landry Shamet,Orlando Magic,W,10/20/2018,20:56,0,4,0.0,0,3,0.0,0,0,,2,2,4,2,0,0,1,0,0,12.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
401,343,Philadelphia 76ers,Amir Johnson,Orlando Magic,W,10/20/2018,14:23,4,4,1.0,0,0,,0,0,,2,4,6,3,1,1,2,1,8,9.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
402,344,Philadelphia 76ers,Furkan Korkmaz,Orlando Magic,W,10/20/2018,6:30,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,-1.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
654,561,Philadelphia 76ers,J.J. Redick,Detroit Pistons,L,10/23/2018,37:20,9,21,0.429,6,15,0.4,6,7,0.857,0,5,5,6,0,0,0,1,30,7.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
655,562,Philadelphia 76ers,T.J. McConnell,Detroit Pistons,L,10/23/2018,32:01,5,8,0.625,0,1,0.0,0,0,,0,4,4,8,1,0,4,0,10,-3.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
656,563,Philadelphia 76ers,Mike Muscala,Detroit Pistons,L,10/23/2018,16:42,2,3,0.667,1,2,0.5,0,0,,1,1,2,0,0,2,0,1,5,-2.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
657,563,Philadelphia 76ers,Mike Muscala,Detroit Pistons,L,10/23/2018,16:42,2,3,0.667,1,2,0.5,0,0,,1,1,2,0,0,2,0,1,5,-2.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
658,564,Philadelphia 76ers,Amir Johnson,Detroit Pistons,L,10/23/2018,13:00,3,5,0.6,0,0,,0,2,0.0,1,3,4,1,0,0,2,3,6,-7.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
792,681,Philadelphia 76ers,J.J. Redick,Milwaukee Bucks,L,10/24/2018,32:29,6,13,0.462,3,8,0.375,4,4,1.0,0,2,2,6,0,0,3,1,19,5.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
793,682,Philadelphia 76ers,Mike Muscala,Milwaukee Bucks,L,10/24/2018,18:17,3,6,0.5,1,4,0.25,1,1,1.0,1,3,4,1,0,0,1,5,8,-10.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
794,682,Philadelphia 76ers,Mike Muscala,Milwaukee Bucks,L,10/24/2018,18:17,3,6,0.5,1,4,0.25,1,1,1.0,1,3,4,1,0,0,1,5,8,-10.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
795,683,Philadelphia 76ers,Landry Shamet,Milwaukee Bucks,L,10/24/2018,8:15,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,1,0,1,1,3,-4.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
796,683,Philadelphia 76ers,Landry Shamet,Milwaukee Bucks,L,10/24/2018,8:15,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,1,0,1,1,3,-4.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
797,684,Philadelphia 76ers,Amir Johnson,Milwaukee Bucks,L,10/24/2018,6:48,0,0,,0,0,,2,2,1.0,0,2,2,0,0,0,0,1,2,-6.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
798,685,Philadelphia 76ers,Furkan Korkmaz,Milwaukee Bucks,L,10/24/2018,6:04,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,2,3.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
799,686,Philadelphia 76ers,T.J. McConnell,Milwaukee Bucks,L,10/24/2018,4:52,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
1059,913,Philadelphia 76ers,J.J. Redick,Charlotte Hornets,W,10/27/2018,32:18,4,12,0.33299999999999996,3,8,0.375,4,4,1.0,0,1,1,2,0,0,0,1,15,6.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1060,914,Philadelphia 76ers,Mike Muscala,Charlotte Hornets,W,10/27/2018,17:12,0,3,0.0,0,3,0.0,2,2,1.0,1,5,6,2,0,1,1,2,2,6.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1061,914,Philadelphia 76ers,Mike Muscala,Charlotte Hornets,W,10/27/2018,17:12,0,3,0.0,0,3,0.0,2,2,1.0,1,5,6,2,0,1,1,2,2,6.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1062,915,Philadelphia 76ers,T.J. McConnell,Charlotte Hornets,W,10/27/2018,14:22,1,2,0.5,0,0,,0,0,,0,0,0,3,0,1,0,2,2,-6.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
1063,916,Philadelphia 76ers,Landry Shamet,Charlotte Hornets,W,10/27/2018,9:14,1,3,0.33299999999999996,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,4,-1.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1064,916,Philadelphia 76ers,Landry Shamet,Charlotte Hornets,W,10/27/2018,9:14,1,3,0.33299999999999996,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,4,-1.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1065,917,Philadelphia 76ers,Amir Johnson,Charlotte Hornets,W,10/27/2018,6:13,0,0,,0,0,,2,2,1.0,1,1,2,1,0,0,0,2,2,4.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1208,1038,Philadelphia 76ers,J.J. Redick,Atlanta Hawks,W,10/29/2018,25:16,4,15,0.267,4,11,0.364,2,2,1.0,0,8,8,3,2,1,3,3,14,18.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1209,1039,Philadelphia 76ers,Landry Shamet,Atlanta Hawks,W,10/29/2018,24:42,4,8,0.5,2,5,0.4,3,3,1.0,0,1,1,2,1,0,1,2,13,8.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1210,1039,Philadelphia 76ers,Landry Shamet,Atlanta Hawks,W,10/29/2018,24:42,4,8,0.5,2,5,0.4,3,3,1.0,0,1,1,2,1,0,1,2,13,8.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1211,1040,Philadelphia 76ers,Mike Muscala,Atlanta Hawks,W,10/29/2018,18:52,5,7,0.7140000000000001,4,6,0.667,0,0,,1,4,5,0,0,1,1,1,14,7.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1212,1040,Philadelphia 76ers,Mike Muscala,Atlanta Hawks,W,10/29/2018,18:52,5,7,0.7140000000000001,4,6,0.667,0,0,,1,4,5,0,0,1,1,1,14,7.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1213,1041,Philadelphia 76ers,Amir Johnson,Atlanta Hawks,W,10/29/2018,14:37,1,2,0.5,0,0,,0,0,,1,5,6,3,0,1,0,2,2,6.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1214,1042,Philadelphia 76ers,Jonah Bolden,Atlanta Hawks,W,10/29/2018,6:48,2,5,0.4,0,3,0.0,0,0,,0,1,1,0,0,1,1,1,4,1.0,2019,453,PF,https://www.basketball-reference.com/players/b/boldejo01.html,43,6-8,220,Philadelphia 76ers,regular season
1215,1043,Philadelphia 76ers,T.J. McConnell,Atlanta Hawks,W,10/29/2018,6:02,1,3,0.33299999999999996,0,0,,0,0,,1,3,4,1,0,0,2,1,2,-2.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
1216,1044,Philadelphia 76ers,Furkan Korkmaz,Atlanta Hawks,W,10/29/2018,4:35,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,2,1.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
1364,1170,Philadelphia 76ers,J.J. Redick,Toronto Raptors,L,10/30/2018,29:53,5,15,0.33299999999999996,3,11,0.273,0,0,,2,1,3,3,0,0,1,2,13,-5.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1365,1171,Philadelphia 76ers,Landry Shamet,Toronto Raptors,L,10/30/2018,16:25,3,8,0.375,2,6,0.33299999999999996,0,0,,0,0,0,0,0,0,0,2,8,-8.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1366,1171,Philadelphia 76ers,Landry Shamet,Toronto Raptors,L,10/30/2018,16:25,3,8,0.375,2,6,0.33299999999999996,0,0,,0,0,0,0,0,0,0,2,8,-8.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1367,1172,Philadelphia 76ers,Mike Muscala,Toronto Raptors,L,10/30/2018,16:03,3,5,0.6,1,3,0.33299999999999996,5,5,1.0,2,3,5,1,0,0,1,1,12,-17.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1368,1172,Philadelphia 76ers,Mike Muscala,Toronto Raptors,L,10/30/2018,16:03,3,5,0.6,1,3,0.33299999999999996,5,5,1.0,2,3,5,1,0,0,1,1,12,-17.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1369,1173,Philadelphia 76ers,Amir Johnson,Toronto Raptors,L,10/30/2018,11:59,2,4,0.5,0,1,0.0,1,2,0.5,2,4,6,1,1,1,4,1,5,-4.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1370,1174,Philadelphia 76ers,T.J. McConnell,Toronto Raptors,L,10/30/2018,7:48,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,0,0,-3.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
1371,1175,Philadelphia 76ers,Jonah Bolden,Toronto Raptors,L,10/30/2018,3:49,0,0,,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,1,0.0,2019,453,PF,https://www.basketball-reference.com/players/b/boldejo01.html,43,6-8,220,Philadelphia 76ers,regular season
1545,1324,Philadelphia 76ers,J.J. Redick,Los Angeles Clippers,W,11/01/2018,34:38,4,12,0.33299999999999996,3,6,0.5,7,8,0.875,1,1,2,4,0,0,4,2,18,6.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1546,1325,Philadelphia 76ers,Mike Muscala,Los Angeles Clippers,W,11/01/2018,23:43,1,4,0.25,1,2,0.5,1,1,1.0,0,2,2,3,0,0,1,5,4,13.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1547,1325,Philadelphia 76ers,Mike Muscala,Los Angeles Clippers,W,11/01/2018,23:43,1,4,0.25,1,2,0.5,1,1,1.0,0,2,2,3,0,0,1,5,4,13.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1548,1326,Philadelphia 76ers,Landry Shamet,Los Angeles Clippers,W,11/01/2018,23:14,5,8,0.625,3,6,0.5,0,1,0.0,0,1,1,0,1,0,0,3,13,0.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1549,1326,Philadelphia 76ers,Landry Shamet,Los Angeles Clippers,W,11/01/2018,23:14,5,8,0.625,3,6,0.5,0,1,0.0,0,1,1,0,1,0,0,3,13,0.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1550,1327,Philadelphia 76ers,Amir Johnson,Los Angeles Clippers,W,11/01/2018,11:53,2,3,0.667,0,0,,1,1,1.0,0,3,3,1,0,0,2,2,5,-6.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1714,1467,Philadelphia 76ers,J.J. Redick,Detroit Pistons,W,11/03/2018,30:48,3,10,0.3,2,6,0.33299999999999996,8,9,0.889,0,1,1,4,0,0,2,0,16,-13.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1715,1468,Philadelphia 76ers,Mike Muscala,Detroit Pistons,W,11/03/2018,25:47,3,10,0.3,2,8,0.25,6,6,1.0,1,3,4,0,1,0,3,4,14,8.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1716,1468,Philadelphia 76ers,Mike Muscala,Detroit Pistons,W,11/03/2018,25:47,3,10,0.3,2,8,0.25,6,6,1.0,1,3,4,0,1,0,3,4,14,8.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1717,1469,Philadelphia 76ers,Landry Shamet,Detroit Pistons,W,11/03/2018,19:25,4,7,0.5710000000000001,2,5,0.4,1,1,1.0,0,1,1,1,0,0,1,0,11,13.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1718,1469,Philadelphia 76ers,Landry Shamet,Detroit Pistons,W,11/03/2018,19:25,4,7,0.5710000000000001,2,5,0.4,1,1,1.0,0,1,1,1,0,0,1,0,11,13.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1719,1470,Philadelphia 76ers,Amir Johnson,Detroit Pistons,W,11/03/2018,14:12,1,3,0.33299999999999996,0,0,,4,4,1.0,1,2,3,3,1,0,1,3,6,9.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1720,1471,Philadelphia 76ers,Wilson Chandler,Detroit Pistons,W,11/03/2018,9:30,0,0,,0,0,,0,0,,0,4,4,1,1,0,0,4,0,0.0,2019,242,SF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Los Angeles Clippers,regular season
1721,1471,Philadelphia 76ers,Wilson Chandler,Detroit Pistons,W,11/03/2018,9:30,0,0,,0,0,,0,0,,0,4,4,1,1,0,0,4,0,0.0,2019,456,PF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Philadelphia 76ers,regular season
1833,1570,Philadelphia 76ers,Landry Shamet,Brooklyn Nets,L,11/04/2018,28:27,3,6,0.5,2,5,0.4,4,5,0.8,0,1,1,1,0,0,1,0,12,-28.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
1834,1570,Philadelphia 76ers,Landry Shamet,Brooklyn Nets,L,11/04/2018,28:27,3,6,0.5,2,5,0.4,4,5,0.8,0,1,1,1,0,0,1,0,12,-28.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
1835,1571,Philadelphia 76ers,Mike Muscala,Brooklyn Nets,L,11/04/2018,28:22,0,2,0.0,0,1,0.0,0,0,,1,1,2,3,0,0,4,0,0,-25.0,2019,277,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Los Angeles Lakers,regular season
1836,1571,Philadelphia 76ers,Mike Muscala,Brooklyn Nets,L,11/04/2018,28:22,0,2,0.0,0,1,0.0,0,0,,1,1,2,3,0,0,4,0,0,-25.0,2019,470,PF,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Philadelphia 76ers,regular season
1837,1572,Philadelphia 76ers,J.J. Redick,Brooklyn Nets,L,11/04/2018,27:22,6,13,0.462,1,6,0.16699999999999998,2,2,1.0,0,1,1,2,0,0,3,1,15,-16.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
1838,1573,Philadelphia 76ers,Amir Johnson,Brooklyn Nets,L,11/04/2018,6:58,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,2,5,3,-9.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
1839,1574,Philadelphia 76ers,T.J. McConnell,Brooklyn Nets,L,11/04/2018,5:37,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,0,2,-3.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
1840,1575,Philadelphia 76ers,Furkan Korkmaz,Brooklyn Nets,L,11/04/2018,3:27,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-2.0,2019,465,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,regular season
2147,1833,Philadelphia 76ers,J.J. Redick,Indiana Pacers,W,11/07/2018,28:48,2,9,0.222,0,7,0.0,6,6,1.0,1,0,1,6,0,0,3,1,10,9.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
2148,1834,Philadelphia 76ers,Landry Shamet,Indiana Pacers,W,11/07/2018,22:53,4,8,0.5,3,6,0.5,1,1,1.0,0,1,1,1,1,1,1,3,12,-11.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
2149,1834,Philadelphia 76ers,Landry Shamet,Indiana Pacers,W,11/07/2018,22:53,4,8,0.5,3,6,0.5,1,1,1.0,0,1,1,1,1,1,1,3,12,-11.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
2150,1835,Philadelphia 76ers,Wilson Chandler,Indiana Pacers,W,11/07/2018,15:22,1,3,0.33299999999999996,0,2,0.0,0,0,,2,3,5,0,0,0,1,1,2,-8.0,2019,242,SF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Los Angeles Clippers,regular season
2151,1835,Philadelphia 76ers,Wilson Chandler,Indiana Pacers,W,11/07/2018,15:22,1,3,0.33299999999999996,0,2,0.0,0,0,,2,3,5,0,0,0,1,1,2,-8.0,2019,456,PF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Philadelphia 76ers,regular season
2152,1836,Philadelphia 76ers,Amir Johnson,Indiana Pacers,W,11/07/2018,5:09,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,2,2,2,2.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
2295,1959,Philadelphia 76ers,J.J. Redick,Charlotte Hornets,W,11/09/2018,36:41,7,16,0.43799999999999994,2,9,0.222,1,1,1.0,0,2,2,4,0,0,1,1,17,8.0,2019,472,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
2296,1960,Philadelphia 76ers,Landry Shamet,Charlotte Hornets,W,11/09/2018,18:31,1,6,0.16699999999999998,1,5,0.2,0,0,,0,0,0,1,1,1,0,3,3,1.0,2019,255,SG,https://www.basketball-reference.com/players/s/shamela01.html,20,6-4,190,Los Angeles Clippers,regular season
2297,1960,Philadelphia 76ers,Landry Shamet,Charlotte Hornets,W,11/09/2018,18:31,1,6,0.16699999999999998,1,5,0.2,0,0,,0,0,0,1,1,1,0,3,3,1.0,2019,475,SG,https://www.basketball-reference.com/players/s/shamela01.html,1-23,6-4,190,Philadelphia 76ers,regular season
2298,1961,Philadelphia 76ers,Wilson Chandler,Charlotte Hornets,W,11/09/2018,15:44,3,4,0.75,2,3,0.667,0,2,0.0,1,4,5,1,0,1,1,1,8,5.0,2019,242,SF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Los Angeles Clippers,regular season
2299,1961,Philadelphia 76ers,Wilson Chandler,Charlotte Hornets,W,11/09/2018,15:44,3,4,0.75,2,3,0.667,0,2,0.0,1,4,5,1,0,1,1,1,8,5.0,2019,456,PF,https://www.basketball-reference.com/players/c/chandwi01.html,22,6-8,235,Philadelphia 76ers,regular season
2300,1962,Philadelphia 76ers,Jonah Bolden,Charlotte Hornets,W,11/09/2018,10:57,2,4,0.5,1,3,0.33299999999999996,0,0,,0,4,4,1,0,0,1,4,5,6.0,2019,453,PF,https://www.basketball-reference.com/players/b/boldejo01.html,43,6-8,220,Philadelphia 76ers,regular season
2301,1963,Philadelphia 76ers,Amir Johnson,Charlotte Hornets,W,11/09/2018,5:41,2,3,0.667,0,0,,0,0,,1,1,2,1,0,1,0,1,4,-10.0,2019,464,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
2302,1964,Philadelphia 76ers,T.J. McConnell,Charlotte Hornets,W,11/09/2018,3:45,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,1,0,-2.0,2019,467,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
